SHEET_TYPE_TEXT,Max Num Of Chars,Dead Text,Hash Codes,,Languages,,,,,,,,,,,,,Output For All Levels,HT_File_Map_ab_cana,HT_File_Map_ab_cncl,HT_File_Map_ab_cin1,HT_File_Map_ab_cin2,HT_File_Map_ab_musm,HT_File_Map_ab_nrth,HT_File_Map_ab_sewr,HT_File_Map_ab_shop,HT_File_Map_ab_sth,HT_File_Map_ak_du6,HT_File_Map_hl_cp,HT_File_Map_hl_da2,HT_File_Map_hl_da3,HT_File_Map_hl_dng,HT_File_Map_hl_ext,HT_File_Map_hl_ws1,HT_File_Map_hl_ws2,HT_File_Map_hl_ws3,HT_File_Map_hl_rm1,HT_File_Map_lu_pala,HT_File_Map_lu_pyra,HT_File_Map_MG_Simon,HT_File_Map_mg_pairs,HT_File_Map_mg_shoot,HT_File_Map_mg_walls,HT_File_Map_mu_cast,HT_File_mum_eye,HT_File_mum_eyei,HT_File_mum_gebq,HT_File_Map_mu_htrn,HT_File_Map_mu_imp2,HT_File_mum_inch,HT_File_mum_jail,HT_File_mum_ldge,HT_File_mum_pala,HT_File_Map_mu_roto,HT_File_mum_sewr,HT_File_mum_towr,HT_File_mum_trch,HT_File_mum_trei,HT_File_mum_udng,HT_File_mum_well,HT_File_urk_4pat,HT_File_Map_ur_cast,HT_File_Map_ur_intr,HT_File_FrontEnd,HT_File_DemoMap,HT_File_Monster_Test,HT_File_Mummy_Test,HT_File_Map_cas_lowr,HT_File_BOSTest,,Game Data,,,Sound Information,,,
,,,HT_Text_Memcard_FormatComplete,,Format successful.,Format successful.,Formatieren erfolgreich.,Formatage réussi,Éxito al formatear.,Formattazione completata.,포맷 완료.,**Format successful.*,Διαμόρφωση επιτυχής.,Formatēšana izdevusies.,Formatação bem sucedida.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_SaveFailed,,Failed to save game.,Failed to save game.,Speichern gescheitert.,Échec sauvegarde,Error al guardar partida.,Salvataggio fallito.,게임 저장 실패.,**Failed to save game.*,Αποτυχία να αποθηκευτεί το παιχνίδι.,Neizdevās saglabāt spēli.,Falha ao salvar o jogo.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_SaveSuccess,,Save game successful.,Save game successful.,Speichern erfolgreich.,Sauvegarde réussie,Partida guardada con éxito.,Salvataggio completato.,게임 저장 완료.,**Save game successful.*,Επιτυχής αποθήκευση παιχνιδιού.,Spēles saglabāšana izdevusies.,Jogo salvo com sucesso.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_LoadFail,,Failed to load game.,Failed to load game.,Laden gescheitert.,Échec chargement,Error al cargar partida.,Caricamento fallito.,게임 불러오기 실패.,**Failed to load game.*,Αποτυχία να φορτωθεί το παιχνίδι.,Neizdevies ielādēt saglabāto spēli.,Falha ao carregar o jogo.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_NoCard,,"Caution! Sphinx uses an Autosave feature.\nInsertion of a memory card (PS2) beyond\nthis point may cause data to be\noverwritten. However if you wish to save\nyour game data, insert a memory card (PS2)\nwith at least xKB free space.\n\nPress START BUTTON to continue\nwithout saves.","Caution! Sphinx uses an Autosave feature.\nInsertion of a memory card (PS2) beyond\nthis point may cause data to be\noverwritten. However if you wish to save\nyour game data, insert a memory card (PS2)\nwith at least xKB free space.\n\nPress START BUTTON to continue\nwithout saves.","Achtung! Sphinx speichert automatisch.\nWenn jetzt eine Memory Card (PS2)\neingesteckt wird, können Daten\nüberschrieben werden. Zum Speichern wird\neine Memory Card (PS2) mit mindestens\nxKB freiem Speicher benötigt.\n\nDrücke die START-Taste, um ohne zu\nSpeichern fortzufahren.","Attention! Sphinx dispose d'un système d'Auto-sauvegarde.\nL'insertion ultérieure d'une memory card (PS2)\nrisque d'écraser les données\nprécédentes. Pour sauvegarder\nvos données, insérer une memory card (PS2)\navec au moins xKB d'espace libre.\n\nAppuyer sur la TOUCHE START pour continuer\nsans sauvegarder.","Atención: Sphinx usa la función de autoguardado.\nSi insertas una memory card (PS2)\na partir de este punto, puede haber\nsobrescritura de datos. No obstante, si deseas guardar\ndatos del juego, inserta una memory card (PS2)\ncon al menos x KB de espacio libre.\n\nPulsa el botón START (inicio)\npara continuar sin guardar.","Attenzione! Sphinx usa la funzione di autosalvataggio.\nInserendo una memory card (PS2) dopo\nquesto punto si può provocare la\nsovrascrittura dei dati. Se vuoi salvare\nla tua partita, inserisci una memory card (PS2)\ncon almeno x KB di spazio libero.\n\nPremi il tasto START per continuare\nsenza salvare.",주의! 스핑크스는 자동 저장 기능을 사용합니다.\n지금 이후에 메모리 카드(PS2)를 삽입하면\n데이터를 덮어써 버릴 수 있습니다.\n그러나 게임 데이터를 저장하고 싶으시면\n최소한 xKB의 빈 공간이 있는 메모리 카드(PS2)를 꽂으십시오.\n\n저장하지 않고 계속하시려면\nSTART(시작) 버튼을 누르십시오.,"**Caution! Sphinx uses an Autosave feature.\nInsertion of a memory card (PS2) beyond\nthis point may cause data to be\noverwritten. However if you wish to save\nyour game data, insert a memory card (PS2)\nwith at least xKB free space.\n\nPress START BUTTON to continue\nwithout saves.*","Προσοχή! Το Σφιγξ χρησιμοποιεί λειτουργία αυτόματης αποθήκευσης.\nΗ εισαγωγή κάρτας μνήμης (PS2) πέρα\nαπό αυτό το σημείο μπορεί να προκαλέσει την αντικατάσταση\n δεδομένων. Ωστόσο αν επιθυμείς να αποθηκεύσεις\nτα δεδομένα παιχνιδιού σου, εισήγαγε μία κάρτα μνήμης (PS2)\nμε τουλάχιστον xKB ελεύθερου χώρου.\n\nΠάτησε το START για να συνεχίσεις\n χωρίς αποθήκευση.","Uzmanību! Sfinkss izmanto Autoglabāšanas funkciju.\nIeliekot atmiņas karti (PS2) aiz\nšī punkta varētu rast ka dati\npārrakstīti. Bet, ja tu vēlies saglabād\ntavus spēļu datus, ieliec atmiņas karti (PS2)\nar vismazt xKB brīvas vietas.\n\nSpied SĀKUMA POGU lai turpinātu\nbez saglabāšanas.","Atenção! Sphinx utiliza a função de autosave.\nInserir um memory card (PS2)\na partir deste ponto poderá\nsubstituir dados salvos. Caso deseje salvar\nseus dados de jogo, insira um memory card (PS2)\ncom pelo menos xKB de espaço livre.\n\nAperte o botão START para\ncontinuar sem salvar.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_NoCard1,,No memory card(8MB)(for PlayStation®2)\n inserted in memory card slot 1.,No memory card(8MB)(for PlayStation®2)\n inserted in memory card slot 1.,Keine Memory Card (PS2)\n in MEMORY CARD-Steckplatz 1.,Pas de memory card(8MB)(pour PlayStation®2)\n dans la fente pour memory card N° 1.,No hay memory card (8MB)(para PlayStation®2)\nen la ranura para MEMORY CARD 1.,Nessuna memory card (8 MB)(per PlayStation®2)\n inserita nell'ingresso MEMORY CARD 1.,메모리 카드 슬롯 1에\n메모리 카드(PS2)가 없습니다.,**No memory card(8MB)(for PlayStation®2)\n inserted in memory card slot 1.*,Δεν έχει εισαχθεί κάρτα μνήμης (8MB)(για PlayStation®2)\n στη θύρα 1.,Nav atmiņas karte(8MB)(priekš PlayStation®2)\n ievietota atmiņas kartes 1. ligzā.,Nenhum memory card(8MB)(para PlayStation®2)\n inserido na porta MEMORY CARD 1.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_NoSpace_Boot,,"Insufficient space on memory card (PS2). Insert a\nmemory card (PS2) with at least xKB free space,\nor create some space using the console's internal browser.","Insufficient space on memory card (PS2). Insert a\nmemory card (PS2) with at least xKB free space,\nor create some space using the console's internal browser.","Ungenügend Speicherplatz auf der Memory Card (PS2).\nBitte eine Memory Card (PS2) mit mindestens\nxKB freiem Speicherplatz einstecken, oder\andere Daten mit dem internen Browser der\nKonsole löschen.","Espace insuffisant sur la memory card (PS2). Insérer une\nmemory card (PS2) avec au moins xKB de libre,\nou libérer des fichiers à l'aide du navigateur interne de la console.","No hay espacio suficiente en la memory card (PS2). Inserta una\nmemory card (PS2) con al menos x KB de espacio libre,\no crea espacio libre con el navegador interno de la consola.",Spazio libero insufficiente sulla memory card (PS2).\nInserisci una memory card (PS2) con\nalmeno x KB di spazio libero o crea\nspazio utilizzando il browser interno\ndella console.,메모리 카드(PS2)에 공간이 부족합니다. 최소한 xKB의\n빈 공간이 있는 메모리 카드(PS2)를 꽂으시거나\n콘솔의 브라우저를 사용하여 공간을 확보하십시오.,"**Insufficient space on memory card (PS2). Insert a\nmemory card (PS2) with at least xKB free space,\nor create some space using the console's internal browser.*","Ανεπαρκής χώρος στην κάρτα μνήμης (PS2). Εισήγαγε μία\nκάρτα μνήμης με τουλάχιστον xKB ελεύθερου χώρου,\nή ελευθέρωσε χώρο χρησιμοποιώντας τον εσωτερικό broswer την κονσόλας.","Nepietiekama vieta uz atmiņas kartes (PS2). Ievietojiet a\natmiņas karti (PS2) ar vismaz xKB brīvas vietas,\nvai atbrībojiet vietu konsoles iebūvētajā meklētājā.","Espaço insuficiente no memory card (PS2). Insira um\nmemory card (PS2) com pelo menos xKB de espaço livre,\nou libere espaço utilizando o navegador interno do console.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_NoSpace_Save,,Insufficient space on memory card (PS2) in MEMORY CARD\n slot 1. Sphinx requires xKB free space to save data.,Insufficient space on memory card (PS2) in MEMORY CARD\n slot 1. Sphinx requires xKB free space to save data.,"Ungenügend Speicherplatz auf der Memory Card (PS2) in\nMEMORY CARD-Steckplatz 1. Sphinx benötigt\nxKB freien Speicherplatz, um Daten zu speichern.",Espace insuffisant sur la memory card (PS2) dans la fente pour MEMORY CARD\n N°1. Sphinx nécessite xKB d'espace libre pour sauvegarder les données.,No hay espacio suficiente en la memory card (PS2) de la\nranura para MEMORY CARD 1. Sphinx necesita x KB de espacio libre para guardar datos.,Spazio libero insufficiente sulla memory card (PS2)\nnell'ingresso MEMORY CARD 1. Sphinx richiede\nx KB di spazio libero per salvare i dati.,메모리 카드 슬롯 1의 메모리 카드(PS2)의 공간이 부족합니다.\n스핑크스의 데이터를 저장하려면 xKB의 빈 공간이 필요합니다.,**Insufficient space on memory card (PS2) in MEMORY CARD\n slot 1. Sphinx requires xKB free space to save data.*,Ανεπαρκής χώρος στην κάρτα μνήμης (PS2) στην MEMORY CARD\n θύρα 1. Το Σφιγξ απαιτεί xKB ελεύθερου χώρου για αποθήκευση δεδομένων.,Nepietiekama vieta uz atmiņas kartes (PS2) uz ATMIŅAS KARTES\n 1. ligzdā Sfinksam nepieciešami xKB brīvas vietas lai saglabātu datus.,Espaço insuficiente no memory card (PS2) na porta MEMORY CARD\n 1. Sphinx requer xKB de espaço livre para salvar dados.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_PressKey,,PRESS START TO CONTINUE WITHOUT SAVES,PRESS START TO CONTINUE WITHOUT SAVES,"DRÜCKE START, UM OHNE SPEICHERN FORTZUFAHREN",APPUYER SUR START POUR CONTINUER SANS SAUVEGARDER,PULSA START (INICIO) PARA CONTINUAR SIN GUARDAR,PREMI START PER CONTINUARE SENZA SALVARE,저장하지 않고 계속하려면 START(시작) 버튼을 누르십시오,**PRESS START TO CONTINUE WITHOUT SAVES*,ΠΑΤΗΣΕ ΤΟ START ΓΙΑ ΝΑ ΣΥΝΕΧΙΣΕΙΣ ΧΩΡΙΣ ΑΠΟΘΗΚΕΥΣΗ,NOSPIED SĀKT LAI TURPINĀTU BEZ SAGLABĀŠANAS,APERTE START PARA CONTINUAR SEM SALVAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_Loading,,Loading...,Loading...,Lädt Daten...,Chargement...,Cargando...,Caricamento in corso...,불러오는 중...,**Loading...*,Φορτώνει...,Lādējas...,Carregando...,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_Saving,,"Saving data. Do not remove memory card (PS2) in\nMEMORY CARD slot 1, reset, or switch off the console.","Saving data. Do not remove memory card (PS2) in\nMEMORY CARD slot 1, reset, or switch off the console.",Speichert Daten. Memory Card (PS2) in MEMORY\nCARD-Steckplatz 1 nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Sauvegarde en cours. Ne pas retirer la memory card (PS2)\nde la fente pour MEMORY CARD N°1, ni redémarrer ou éteindre la console.",Guardando datos. No extraigas la memory card (PS2) de\nla ranura para MEMORY CARD 1. No reinicies ni apagues la consola.,Salvataggio in corso. Non rimuovere la memory card (PS2)\nnell'ingresso MEMORY CARD 1 e non resettare/spegnere la console.,데이터 저장 중. 메모리 카드 슬롯 1의 메모리 카드(PS2)를 뽑거나\n콘솔을 리셋하거나 전원을 끄지 말아 주십시오.,"**Saving data. Do not remove memory card (PS2) in\nMEMORY CARD slot 1, reset, or switch off the console.*","Αποθηκεύονται δεδομένα. Μην αφαιρέσεις την κάρτα μνήμης (PS2) στη\nMEMORY CARD θύρα 1, επανεκιννήσεις ή απενεργοποιήσεις την κονσόλα.","Saglabā datus. Neatvieno (PS2) in\nATMIŅAS KARTI 1. ligzdā, nerestartē, vai izslēdz konsoli.","Salvando dados. Não remova o memory card (PS2)\nda porta MEMORY CARD 1, reinicie ou desligue o console.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_Formatting,,"Formatting...\n\n\nFormatting memory card (PS2) in MEMORY CARD slot 1.\nDo not remove memory card (PS2),\nreset, or switch off the console.","Formatting...\n\n\nFormatting memory card (PS2) in MEMORY CARD slot 1.\nDo not remove memory card (PS2),\nreset, or switch off the console.",Formatieren...\n\nFormatiert Memory Card (PS2) in MEMORY CARD-Steckplatz 1.\nMemory Card (PS2) nicht entfernen\nund die Konsole nicht zurücksetzen oder\nabschalten.,"Formatage...\n\n\nFormatage de la memory card (PS2) dans la fente pour MEMORY CARD N°1.\nNe pas retirer la memory card (PS2),\nni redémarrer ou éteindre la console.",Formateando...\n\n\nFormateando la memory card (PS2) de la ranura para MEMORY CARD 1.\nNo extraigas la memory card (PS2).\nNo reinicies ni apagues la consola.,Formattazione in corso...\n\n\nFormattazione memory card (PS2) nell'ingresso MEMORY CARD 1.\nNon rimuovere la memory card (PS2) e non resettare/spegnere la console.,"포맷 중...\n\n\n메모리 카드 슬롯 1의 메모리 카드(PS2)를 포맷 중.\n메모리 카드(PS2)를 뽑거나,\콘솔을 리셋하거나 전원을 끄지 말아 주십시오.","**Formatting...\n\n\nFormatting memory card (PS2) in MEMORY CARD slot 1.\nDo not remove memory card (PS2),\nreset, or switch off the console.*","Γίνεται διαμόρφωση...\n\nΓίνεται διαμόρφωση της κάρτας μνήμης (PS2) στη MEMORY CARD θύρα 1.\nΜην αφαιρέσεις την κάρτα μνήμης (PS2),\n επανεκκινήσεις, ή απενεργοποιήσεις την κονσόλα.","Formatē...\n\n\nFormatē atmiņas karti (PS2) ATMIŅAS KARTES 1. ligzdā.\nNeatvieno atmiņas karti (PS2),\nrnerestartē, vai izslēdz konsoli.","Formatando...\n\n\nFormatando o memory card (PS2) na porta MEMORY CARD 1.\nNão remova o memory card (PS2),\nreinicie ou desligue o console.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Memcard_YesNo,,<B 1>Yes<N><B 2>No<E>,<B 1>Yes<N><B 2>No<E>,<B 1>Ja<N><B 2>Nein<E>,<B 1>Oui<N><B 2>Non<E>,<B 1>Sí<N><B 2>No<E>,<B 1>Sì<N><B 2>No<E>,<B 1>예<N><B 2>아니오<E>,**<B 1>Yes<N><B 2>No<E>*,<B 1>Ναι<N><B 2>Όχι<E>,<B 1>Jā<N><B 2>Nē<E>,<B 1>Sim<N><B 2>Não<E>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Cross,,select,select,Auswählen,Sélectionner,Seleccionar,seleziona,선택,**select*,επιλογή,atlasīt,Selecionar,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Triangle,,BACK,BACK,ZURÜCK,RETOUR,ATRÁS,INDIETRO,뒤로,**BACK*,ΠΙΣΩ,ATPAKAĻ,VOLTAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Square,,Center screen,Centre screen,Bildschirm zentrieren,Centrer écran,Centrar pantalla,Centra schermo,화면 중앙 맞추기,**Center screen*,Κεντράρισμα οθόνης,Centra ekrāns,Centralizar tela,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_StartPause,,Continue game,Continue game,Spiel fortsetzen,Continuer,Continuar partida,Continua partita,게임 계속하기,**Continue game*,Συνέχεια παιχνιδιού,Turpināt spēli,Continuar jogo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_AdjustScreen,,Use the left analog\nstick or directional button to\nadjust the screen position,Use the left analog\nstick or directional button to\nadjust the screen position,Benutze den linken\nAnalog-Stick oder die Richtungstasten\nzum Einstellen der Bildschirmposition,Utiliser le joystick analogique\ngauche ou les touches directionnelles \npour régler la position de l'écran.,Usar joystick analógico\nizquierdo o botón de dirección\npara ajustar la pantalla,Usa la levetta analogica sinistra\n o i tasti direzionali per\nregolare la posizione dello schermo,왼쪽 스틱 혹은\n방향키를 사용하여\n화면 위치를 조정하십시오,**Use the left analog\nstick or directional button to\nadjust the screen position*,Χρησιμοποίησε τον αριστερό αναλογικό\nμοχλό ή τα κουμπιά κατεύθυνσης για να\nπροσαρμόσεις τη θέση της οθόνης.,Izmanto kreiso analoga\nkloķi vai vadības pogas lai\npielāgotu ekrāna pozīciju,Utilize o joystick analógico\nesquerdo ou os botões direcionais\npara ajustar a posição da tela.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Accept,,Yes,Yes,Ja,Oui,Sí,Sì,예,**Yes*,Ναι,Jā,Sim,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Decline,,No,No,Nein,Non,No,No,아니오,**No*,Όχι,Nē,Não,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Pause,,Pause game,Pause game,Pause,Pause,Detener partida,Pausa,게임 정지,**Pause game*,Παύση,Apturēt spēli,Pausar jogo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Empty,,Nothing,Nothing,Nichts,Vide,Nada,Niente,아무것도 아니다,**Nothing*,Τίποτα,Nekas,Nada,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_BOS,,Open Book of Sphinx,Open Book of Sphinx,Buch des Sphinx öffnen,Ouvrir Livre de Sphinx,Abrir Libro de Sphinx,Apri Libro di Sphinx,스핑크스의 서를 연다,**Open Book of Sphinx*,Άνοιξε το βιβλίο του Σφιγξ,Atvērt Sfinksa Grāmatu,Abrir Livro de Sphinx,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Inventory,,Inventory,Inventory,Gepäck,Inventaire,Inventario,Inventario,재고,**Inventory*,Συλλογή Αντικειμένων,Krājums,Inventário,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Jump,,Jump,Jump,Springen,Sauter,Saltar,Salta,점프,**Jump*,Πήδα,Lekt,Pular,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Attack,,Attack,Attack,Angreifen,Attaquer,Atacar,Attacca,공격,**Attack*,Επιθέσου,Uzbrukt,Atacar,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Context,,Context,Context,Kontext,Contexte,Contexto,Contesto,정황,**Context*,Γενικό πλαίσιο,Konteksts,Contexto,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Shield,,Shield,Shield,Schild,Bouclier,Escudo,Scudo,방패,**Shield*,Ασπίδα,Vairogs,Escudo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Pipe,,Blow pipe,Blow pipe,Blasrohr,Sarbacane,Cerbatana,Usa cerbottana,취관,**Blow pipe*,Φυσοκάλαμο,Šautriņu truba,Zarabatana,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Camera,,Camera control,Camera control,Kameraeinstellung,Contrôle caméra,Control de cámara,Controllo telecamera,카메라 조정,**Camera control*,Χειρισμός κάμερας,Kameras vadība,Controle da câmera,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Move,,Move character,Move character,Charakter bewegen,Déplacer perso,Mover personaje,Sposta personaggio,캐릭터 움직이기,**Move character*,Μετακίνηση χαρακτήρα,Kustināt tēlu,Mover personagem,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Start,,Pause game menu,Pause game menu,Pausemenü,Menu Pause,Menú Detener partida,Menu di pausa,게임 메뉴 정지,**Pause game menu*,Παύση μενού,Pauzes spēles ekrāns,Menu de pausa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_PadLayout1,,DEFAULT,DEFAULT,STANDARD,PAR=DÉFAUT,PREDETERMINADO,PREDEFINITO,기본,**DEFAULT*,ΠΡΟΕΠΙΛΟΓΗ,NOKLUSĒJUMS,PADRÃO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_PadLayout2,,LEFT=HANDED,LEFT=HANDED,LINKSHÄNDER,GAUCHER,MANO=IZQUIERDA,MANCINO,왼손잡이,**LEFT=HANDED*,ΑΡΙΣΤΕΡΟΧΕΙΡΑΣ,KREILIS,CANHOTO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_PadLayout3,,DRUNKEN,DRUNKEN,BETRUNKEN,IVRE,BEBIDO,UBRIACO,술 취한,**DRUNKEN*,ΜΕΘΥΣΜΕΝΟΣ,PIEDZĒRIES,BÊBADO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_NoPad,,The controller in controller\nport 1 has been removed.\nReinsert the controller to\ncontinue with the game.,The controller in controller\nport 1 has been removed.\nReinsert the controller to\ncontinue with the game.,"Der Controller in Anschluss 1 wurde\nentfernt. Bitte den Controller\nwieder einstecken, um\ndas Spiel fortzusetzen.",La manette dans le port de\nmanette N°1 a été retirée.\nRéinsérer la manette pour\ncontinuer la partie.,Se ha desconectado el mando\ndel puerto de mando 1.\nVuélvelo a conectar para\ncontinuar la partida.,Il controller nell'ingresso\ncontroller 1 è stato rimosso.\nReinserire il controller per\ncontinuare a giocare.,컨트롤러 포트 1의\n컨트롤러가 뽑혔습니다.\n게임을 계속하시려면\n컨트롤러를 다시 꽂아주십시오.,**The controller in controller\nport 1 has been removed.\nReinsert the controller to\ncontinue with the game.*,Το χειριστήριο στη θύρα\nχειριστηρίου 1 έχει αφαιρεθεί.\nΕπανεισήγαγε το χειριστήριο για να\nσυνεχίσεις το παιχνίδι.,"Vadības pults, vadības pults\n1. ligzdā tika atvienota.\nLūdzu pa jaunu iespraudiet vadības pulti lai\nturpinātu spēlēt.",O controle na porta de\ncontrole 1 foi removido.\nReinsira o controle para\ncontinuar o jogo.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Uruk1,,SPHINX=@=URUK=HILLS,SPHINX=@=URUK=HILLS,SPHINX=@=URUK=HILLS,SPHINX=@=URUK=HILLS,SPHINX=@=URUK=HILLS,SPHINX=@=URUK=HILLS,SPHINX=@=URUK=HILLS,**SPHINX=@=URUK=HILLS*,SPHINX=@=URUK=HILLS,SFINKSS=@=URUKAS=KALNI,SPHINX=@=COLINAS=DE=URUK,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Uruk2,,MUMMY=@=URUK=CASTLE,MUMMY=@=URUK=CASTLE,MUMMY=@=URUK=CASTLE,MUMMY=@=URUK=CASTLE,MUMMY=@=URUK=CASTLE,MUMMY=@=URUK=CASTLE,MUMMY=@=URUK=CASTLE,**MUMMY=@=URUK=CASTLE*,MUMMY=@=URUK=CASTLE,MŪMIJA=@=URUKAS=CIETOKSNIS,MÚMIA=@=CASTELO=DE=URUK,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Making,,THE=MAKING=OF=:=:=:,THE=MAKING=OF=:=:=:,THE=MAKING=OF=:=:=:,LE=MAKING=OF=:=:=:,CÓMO=SE=HIZO=:=:=:,IL=MAKING=OF=:=:=:,THE=MAKING=OF=:=:=:,**THE=MAKING=OF=:=:=:*,THE=MAKING=OF=:=:=:,IZGATAVOŠANA=:=:=:,O=MAKING=OF=:=:=:,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Menu_Trailer,,TRAILER,TRAILER,TRAILER,BANDE=ANNONCE,TRÁILER,TRAILER,예고편,**TRAILER*,ΤΡΕΪΛΕΡ,TREILERIS,TRAILER,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
